,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
North West,7012947,79977,83159,85657,85614,86532,87513,90181,88590,86745,85887,86882,84412,83224,80079,78026,75718,75387,77290,79747,85453,86985,91249,90735,90469,92182,94053,98023,100168,97160,94882,94834,91303,92583,92755,89785,89953,89242,88445,88821,84731,78596,76674,79660,81568,83430,87984,94041,97666,95442,98539,97647,98969,98124,100236,99526,97339,96673,92436,88236,85772,84010,81474,77529,74223,74262,73609,70902,71789,72991,74349,78918,85056,62864,60154,60150,55535,49677,45319,45478,43778,41918,38195,35641,32259,28409,25629,23526,21217,18322,15164,57611
North East and Yorkshire,8566925,92626,96883,99274,99599,100927,103364,106682,105114,104533,102994,103421,100179,99988,95159,93393,90857,90011,92299,96836,110722,116158,117615,115651,111882,114557,116426,119353,118920,113299,109745,111447,107216,108911,108187,105258,104939,104567,105410,105797,100913,92464,90565,95208,97206,99686,106376,113226,119508,115898,117979,118949,120670,120903,122585,122022,120704,118646,114561,110857,109228,108279,103426,99681,94898,95518,94098,90572,91938,92795,94915,99603,107267,80292,77860,75613,68422,61072,55682,57344,55678,53695,49754,45371,41898,37191,33322,30376,27217,23376,19377,72042
Midlands,10537679,118454,122918,126861,126926,128906,132292,135647,133326,130311,129632,131223,126920,125132,120846,119414,115299,113734,117015,122935,136887,139954,142407,140356,138224,141532,140455,143886,146678,141613,137415,136093,133010,133905,133518,130270,131803,129559,131237,133153,125978,117027,115856,120136,123164,127091,134125,141487,147057,143071,147843,146888,148073,148611,149013,146640,143651,141290,135891,128796,125944,123100,118239,114649,111173,112814,111676,108246,108211,110621,112803,117542,125129,97522,96333,97055,88052,76845,67827,68525,67214,63635,59184,54017,49496,43904,40167,37365,33328,29090,24177,92362
East of England,6493188,74103,76649,80101,80209,81224,83110,85200,84299,83222,82102,82389,78937,77227,74082,73692,70858,70016,71909,71818,64626,63919,68091,71664,73678,77446,75168,76757,79225,79276,80784,83508,82148,83184,83313,82273,83094,85310,86374,86890,84334,79088,78692,79746,82104,83161,86337,89275,91559,89312,92148,92066,93285,94022,93219,92123,89821,87419,84814,80372,78839,77229,74297,71885,69213,69971,68476,66920,67137,68599,70740,75514,84013,63213,59812,59159,54470,47406,41026,42692,42147,40351,37969,35059,32507,29279,26481,24828,22426,19817,16673,64268
London,8908081,122401,124264,125262,122645,121309,124273,127222,119508,115753,113099,113407,109260,105014,100163,96282,94933,92117,95109,94965,87644,90957,99669,112337,125144,135134,142317,150833,159031,163693,168487,173005,169514,171746,170479,164330,163156,160406,158417,154008,147344,137632,132483,128497,125195,122540,121503,120973,119741,117472,116452,115984,114667,113560,110855,109139,104706,99584,95682,92150,87348,83208,78772,75736,71697,68655,65643,62995,60959,60497,59492,59973,62407,50927,47014,45526,42886,38748,35088,36989,36042,34084,31577,29811,27406,24425,22417,20570,18476,16678,13852,54731
South East,8852361,94823,98628,103197,104830,105914,108845,113417,113356,112285,109781,110980,108371,106141,101263,101027,97767,96084,99645,101781,102539,102488,105843,105011,105245,106524,105046,106712,108301,106649,104386,105230,103622,105621,106871,106153,109416,111624,114593,116280,113779,108063,107539,108512,112442,114785,119809,123200,127252,123214,126577,126823,129649,129124,130663,128392,125298,120686,116539,111228,108710,105752,101300,97313,94016,93124,91710,88945,89880,92158,96017,101955,111948,85930,81957,80743,74660,65138,56721,59182,57837,54932,51362,48381,44396,40136,37010,34620,31539,27346,23813,93967
South West,5605997,55450,57389,60680,60935,62401,63994,66861,65981,64928,63819,64769,63029,61387,59367,59034,58314,56606,58938,62154,68562,69233,69516,68131,65560,67108,65611,67369,68939,67820,67444,67509,65612,64483,65344,64577,64994,65262,66518,66740,64396,60118,59778,61470,64013,66395,70144,73900,76673,75780,77679,77577,81026,81192,81383,81846,79733,78603,75987,73421,72365,71365,69436,66529,65213,66388,66091,64841,65465,67410,69103,73599,79878,61475,59803,58596,54247,47568,41252,41815,40764,38637,36224,33365,31318,27970,26126,23962,21790,19329,16296,64295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,